comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_expert_selection,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,act_16,act_17,act_18,act_19,act_20,act_21,act_22,act_23,act_24,act_25,act_std,act_min,act_mean,act_median,act_max,log_act_mean,log_act_median,log_act_min,pEC50_mean,pEC50_median,pEC50_min,meas_count,class_activity_mean_1000,class_activity_median_1000,class_activity_min_1000,class_activity_max_1000,class_activity_mean_2000,class_activity_median_2000,class_activity_min_2000,class_activity_max_2000,class_activity_mean_3000,class_activity_median_3000,class_activity_min_3000,class_activity_max_3000,class_activity_mean_4000,class_activity_median_4000,class_activity_min_4000,class_activity_max_4000,class_activity_mean_5000,class_activity_median_5000,class_activity_min_5000,class_activity_max_5000,act_mean_expert,act_median_expert,act_min_expert,act_max_expert,pIC50_expert_mean,pIC50_expert_median,pIC50_expert_min,pIC50_expert_max,class_activity_mean_expert_1000,class_activity_median_expert_1000,class_activity_min_expert_1000,class_activity_mean_expert_2000,class_activity_median_expert_2000,class_activity_min_expert_2000,class_activity_mean_expert_3000,class_activity_median_expert_3000,class_activity_min_expert_3000,class_activity_mean_expert_4000,class_activity_median_expert_4000,class_activity_min_expert_4000,class_activity_mean_expert_5000,class_activity_median_expert_5000,class_activity_min_expert_5000,source
2343587,nM,EC50,,BAO_0000188,EC50,1929733,Antagonist activity at androgen receptor in human C4-2-PSA-rl cells incubated for 24 hrs in presence of androgen R1881 by dual-glo luciferase reporter gene assay,0,B,,CHEMBL4432909,10.1021/acsmedchemlett.6b00186,27563404,CHEMBL4431378,Small Molecule Antagonists of the Nuclear Androgen Receptor for the Treatment of Castration-Resistant Prostate Cancer.,PUBLICATION,"After a high-throughput screening campaign identified thioether 1 as an antagonist of the nuclear androgen receptor, a zone model was developed for structure-activity relationship (SAR) purposes and analogues were synthesized and evaluated in a cell-based luciferase assay. A novel thioether isostere, cyclopropane (1S,2R)-27, showed the desired increased potency and structural properties (stereospecific SAR response, absence of a readily oxidized sulfur atom, low molecular weight, reduced number of flexible bonds and polar surface area, and drug-likeness score) in the prostate-specific antigen luciferase assay in C4-2-PSA-rl cells to qualify as a new lead structure for prostate cancer drug development.",,Cc1noc(C)c1CSCC(=O)N1CCN(c2ccccc2)CC1,C18H23N3O2S,CHEMBL4436578,25000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25000.0,25000.0,25000.0,25000.0,4.397940009,4.397940009,4.397940009,4.602059991,4.602059991,4.602059991,1,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,25000.0,25000.0,25000.0,25000.0,4.6020599913279625,4.6020599913279625,4.6020599913279625,4.6020599913279625,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,EC50
2343897,nM,EC50,,BAO_0000188,EC50,1929733,Antagonist activity at androgen receptor in human C4-2-PSA-rl cells incubated for 24 hrs in presence of androgen R1881 by dual-glo luciferase reporter gene assay,0,B,,CHEMBL4432909,10.1021/acsmedchemlett.6b00186,27563404,CHEMBL4431378,Small Molecule Antagonists of the Nuclear Androgen Receptor for the Treatment of Castration-Resistant Prostate Cancer.,PUBLICATION,"After a high-throughput screening campaign identified thioether 1 as an antagonist of the nuclear androgen receptor, a zone model was developed for structure-activity relationship (SAR) purposes and analogues were synthesized and evaluated in a cell-based luciferase assay. A novel thioether isostere, cyclopropane (1S,2R)-27, showed the desired increased potency and structural properties (stereospecific SAR response, absence of a readily oxidized sulfur atom, low molecular weight, reduced number of flexible bonds and polar surface area, and drug-likeness score) in the prostate-specific antigen luciferase assay in C4-2-PSA-rl cells to qualify as a new lead structure for prostate cancer drug development.",,Cc1ccccc1N1CCN(C(=O)/C=C\c2ccccc2)CC1,C20H22N2O,CHEMBL4436888,12700.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12700.0,12700.0,12700.0,12700.0,4.103803721,4.103803721,4.103803721,4.896196279,4.896196279,4.896196279,1,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,12700.0,12700.0,12700.0,12700.0,4.896196279044043,4.896196279044043,4.896196279044043,4.896196279044043,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,EC50
2343940,nM,EC50,,BAO_0000188,EC50,1929733,Antagonist activity at androgen receptor in human C4-2-PSA-rl cells incubated for 24 hrs in presence of androgen R1881 by dual-glo luciferase reporter gene assay,0,B,,CHEMBL4432909,10.1021/acsmedchemlett.6b00186,27563404,CHEMBL4431378,Small Molecule Antagonists of the Nuclear Androgen Receptor for the Treatment of Castration-Resistant Prostate Cancer.,PUBLICATION,"After a high-throughput screening campaign identified thioether 1 as an antagonist of the nuclear androgen receptor, a zone model was developed for structure-activity relationship (SAR) purposes and analogues were synthesized and evaluated in a cell-based luciferase assay. A novel thioether isostere, cyclopropane (1S,2R)-27, showed the desired increased potency and structural properties (stereospecific SAR response, absence of a readily oxidized sulfur atom, low molecular weight, reduced number of flexible bonds and polar surface area, and drug-likeness score) in the prostate-specific antigen luciferase assay in C4-2-PSA-rl cells to qualify as a new lead structure for prostate cancer drug development.",,Cc1ccccc1N1CCN(S(=O)(=O)CSCc2c(C)noc2C)CC1,C18H25N3O3S2,CHEMBL4436931,7200.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7200.0,7200.0,7200.0,7200.0,3.857332496,3.857332496,3.857332496,5.142667504,5.142667504,5.142667504,1,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,7200.0,7200.0,7200.0,7200.0,5.142667503568732,5.142667503568732,5.142667503568732,5.142667503568732,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,EC50
2344970,nM,EC50,,"Entry 0: BAO_0000188, Entry 1: BAO_0000188, ",EC50,"Entry 0: 1929733, Entry 1: 1929733, ","Entry 0: Antagonist activity at androgen receptor in human C4-2-PSA-rl cells incubated for 24 hrs in presence of androgen R1881 by dual-glo luciferase reporter gene assay, Entry 1: Antagonist activity at androgen receptor in human C4-2-PSA-rl cells incubated for 24 hrs in presence of androgen R1881 by dual-glo luciferase reporter gene assay, ","0,1","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL4432909, Entry 1: CHEMBL4432909, ","Entry 0: 10.1021/acsmedchemlett.6b00186, Entry 1: 10.1021/acsmedchemlett.6b00186, ","Entry 0: 27563404, Entry 1: 27563404, ","Entry 0: CHEMBL4431378, Entry 1: CHEMBL4431378, ","Entry 0: Small Molecule Antagonists of the Nuclear Androgen Receptor for the Treatment of Castration-Resistant Prostate Cancer., Entry 1: Small Molecule Antagonists of the Nuclear Androgen Receptor for the Treatment of Castration-Resistant Prostate Cancer., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: After a high-throughput screening campaign identified thioether 1 as an antagonist of the nuclear androgen receptor, a zone model was developed for structure-activity relationship (SAR) purposes and analogues were synthesized and evaluated in a cell-based luciferase assay. A novel thioether isostere, cyclopropane (1S,2R)-27, showed the desired increased potency and structural properties (stereospecific SAR response, absence of a readily oxidized sulfur atom, low molecular weight, reduced number of flexible bonds and polar surface area, and drug-likeness score) in the prostate-specific antigen luciferase assay in C4-2-PSA-rl cells to qualify as a new lead structure for prostate cancer drug development., Entry 1: After a high-throughput screening campaign identified thioether 1 as an antagonist of the nuclear androgen receptor, a zone model was developed for structure-activity relationship (SAR) purposes and analogues were synthesized and evaluated in a cell-based luciferase assay. A novel thioether isostere, cyclopropane (1S,2R)-27, showed the desired increased potency and structural properties (stereospecific SAR response, absence of a readily oxidized sulfur atom, low molecular weight, reduced number of flexible bonds and polar surface area, and drug-likeness score) in the prostate-specific antigen luciferase assay in C4-2-PSA-rl cells to qualify as a new lead structure for prostate cancer drug development., ",,Cc1ccccc1C1CC2CCC(C1)N2C(=O)CSCc1c(C)noc1C,C22H28N2O2S,CHEMBL4437961,7700.0,7900.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,7700.0,7800.0,7800.0,7900.0,3.892094603,3.892094603,3.886490725,5.107905397,5.107905397,5.113509275,2,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,7800.0,7800.0,7700.0,7900.0,5.107905397309519,5.107905397309519,5.113509274827518,5.102372908709558,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,EC50
2345641,nM,EC50,,BAO_0000188,EC50,1929733,Antagonist activity at androgen receptor in human C4-2-PSA-rl cells incubated for 24 hrs in presence of androgen R1881 by dual-glo luciferase reporter gene assay,0,B,,CHEMBL4432909,10.1021/acsmedchemlett.6b00186,27563404,CHEMBL4431378,Small Molecule Antagonists of the Nuclear Androgen Receptor for the Treatment of Castration-Resistant Prostate Cancer.,PUBLICATION,"After a high-throughput screening campaign identified thioether 1 as an antagonist of the nuclear androgen receptor, a zone model was developed for structure-activity relationship (SAR) purposes and analogues were synthesized and evaluated in a cell-based luciferase assay. A novel thioether isostere, cyclopropane (1S,2R)-27, showed the desired increased potency and structural properties (stereospecific SAR response, absence of a readily oxidized sulfur atom, low molecular weight, reduced number of flexible bonds and polar surface area, and drug-likeness score) in the prostate-specific antigen luciferase assay in C4-2-PSA-rl cells to qualify as a new lead structure for prostate cancer drug development.",,Cc1ccccc1N1CCN(C(=O)CN(C)Cc2ccccc2)CC1,C21H27N3O,CHEMBL4438632,25000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25000.0,25000.0,25000.0,25000.0,4.397940009,4.397940009,4.397940009,4.602059991,4.602059991,4.602059991,1,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,25000.0,25000.0,25000.0,25000.0,4.6020599913279625,4.6020599913279625,4.6020599913279625,4.6020599913279625,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,EC50
2346273,nM,EC50,,BAO_0000188,EC50,1929733,Antagonist activity at androgen receptor in human C4-2-PSA-rl cells incubated for 24 hrs in presence of androgen R1881 by dual-glo luciferase reporter gene assay,0,B,,CHEMBL4432909,10.1021/acsmedchemlett.6b00186,27563404,CHEMBL4431378,Small Molecule Antagonists of the Nuclear Androgen Receptor for the Treatment of Castration-Resistant Prostate Cancer.,PUBLICATION,"After a high-throughput screening campaign identified thioether 1 as an antagonist of the nuclear androgen receptor, a zone model was developed for structure-activity relationship (SAR) purposes and analogues were synthesized and evaluated in a cell-based luciferase assay. A novel thioether isostere, cyclopropane (1S,2R)-27, showed the desired increased potency and structural properties (stereospecific SAR response, absence of a readily oxidized sulfur atom, low molecular weight, reduced number of flexible bonds and polar surface area, and drug-likeness score) in the prostate-specific antigen luciferase assay in C4-2-PSA-rl cells to qualify as a new lead structure for prostate cancer drug development.",,Cc1ccccc1N1CCN(C(=O)C[S+]([O-])Cc2c(C)noc2C)CC1,C19H25N3O3S,CHEMBL4439264,25000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25000.0,25000.0,25000.0,25000.0,4.397940009,4.397940009,4.397940009,4.602059991,4.602059991,4.602059991,1,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,25000.0,25000.0,25000.0,25000.0,4.6020599913279625,4.6020599913279625,4.6020599913279625,4.6020599913279625,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,EC50
2347264,nM,EC50,,BAO_0000188,EC50,1929733,Antagonist activity at androgen receptor in human C4-2-PSA-rl cells incubated for 24 hrs in presence of androgen R1881 by dual-glo luciferase reporter gene assay,0,B,,CHEMBL4432909,10.1021/acsmedchemlett.6b00186,27563404,CHEMBL4431378,Small Molecule Antagonists of the Nuclear Androgen Receptor for the Treatment of Castration-Resistant Prostate Cancer.,PUBLICATION,"After a high-throughput screening campaign identified thioether 1 as an antagonist of the nuclear androgen receptor, a zone model was developed for structure-activity relationship (SAR) purposes and analogues were synthesized and evaluated in a cell-based luciferase assay. A novel thioether isostere, cyclopropane (1S,2R)-27, showed the desired increased potency and structural properties (stereospecific SAR response, absence of a readily oxidized sulfur atom, low molecular weight, reduced number of flexible bonds and polar surface area, and drug-likeness score) in the prostate-specific antigen luciferase assay in C4-2-PSA-rl cells to qualify as a new lead structure for prostate cancer drug development.",,Cc1ccccc1N1CCN(C(=O)CS(=O)(=O)Cc2c(C)noc2C)CC1,C19H25N3O4S,CHEMBL4440255,16100.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,16100.0,16100.0,16100.0,16100.0,4.206825876,4.206825876,4.206825876,4.793174124,4.793174124,4.793174124,1,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,16100.0,16100.0,16100.0,16100.0,4.79317412396815,4.79317412396815,4.79317412396815,4.79317412396815,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,EC50
2347650,nM,EC50,,BAO_0000188,EC50,1929733,Antagonist activity at androgen receptor in human C4-2-PSA-rl cells incubated for 24 hrs in presence of androgen R1881 by dual-glo luciferase reporter gene assay,0,B,,CHEMBL4432909,10.1021/acsmedchemlett.6b00186,27563404,CHEMBL4431378,Small Molecule Antagonists of the Nuclear Androgen Receptor for the Treatment of Castration-Resistant Prostate Cancer.,PUBLICATION,"After a high-throughput screening campaign identified thioether 1 as an antagonist of the nuclear androgen receptor, a zone model was developed for structure-activity relationship (SAR) purposes and analogues were synthesized and evaluated in a cell-based luciferase assay. A novel thioether isostere, cyclopropane (1S,2R)-27, showed the desired increased potency and structural properties (stereospecific SAR response, absence of a readily oxidized sulfur atom, low molecular weight, reduced number of flexible bonds and polar surface area, and drug-likeness score) in the prostate-specific antigen luciferase assay in C4-2-PSA-rl cells to qualify as a new lead structure for prostate cancer drug development.",,Cc1ccccc1N1C[C@@H](C)N(C(=O)CSCc2c(C)noc2C)[C@@H](C)C1,C21H29N3O2S,CHEMBL4440641,3100.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3100.0,3100.0,3100.0,3100.0,3.491361694,3.491361694,3.491361694,5.508638306,5.508638306,5.508638306,1,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,3100.0,3100.0,3100.0,3100.0,5.508638306165727,5.508638306165727,5.508638306165727,5.508638306165727,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,EC50
2355170,nM,EC50,,BAO_0000188,EC50,1929733,Antagonist activity at androgen receptor in human C4-2-PSA-rl cells incubated for 24 hrs in presence of androgen R1881 by dual-glo luciferase reporter gene assay,0,B,,CHEMBL4432909,10.1021/acsmedchemlett.6b00186,27563404,CHEMBL4431378,Small Molecule Antagonists of the Nuclear Androgen Receptor for the Treatment of Castration-Resistant Prostate Cancer.,PUBLICATION,"After a high-throughput screening campaign identified thioether 1 as an antagonist of the nuclear androgen receptor, a zone model was developed for structure-activity relationship (SAR) purposes and analogues were synthesized and evaluated in a cell-based luciferase assay. A novel thioether isostere, cyclopropane (1S,2R)-27, showed the desired increased potency and structural properties (stereospecific SAR response, absence of a readily oxidized sulfur atom, low molecular weight, reduced number of flexible bonds and polar surface area, and drug-likeness score) in the prostate-specific antigen luciferase assay in C4-2-PSA-rl cells to qualify as a new lead structure for prostate cancer drug development.",,Cc1ccccc1N1CCN(C(=O)[C@H]2C[C@@H]2c2ccccc2)CC1,C21H24N2O,CHEMBL4448161,25000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25000.0,25000.0,25000.0,25000.0,4.397940009,4.397940009,4.397940009,4.602059991,4.602059991,4.602059991,1,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,25000.0,25000.0,25000.0,25000.0,4.6020599913279625,4.6020599913279625,4.6020599913279625,4.6020599913279625,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,EC50
2361799,nM,EC50,,BAO_0000188,EC50,1929733,Antagonist activity at androgen receptor in human C4-2-PSA-rl cells incubated for 24 hrs in presence of androgen R1881 by dual-glo luciferase reporter gene assay,0,B,,CHEMBL4432909,10.1021/acsmedchemlett.6b00186,27563404,CHEMBL4431378,Small Molecule Antagonists of the Nuclear Androgen Receptor for the Treatment of Castration-Resistant Prostate Cancer.,PUBLICATION,"After a high-throughput screening campaign identified thioether 1 as an antagonist of the nuclear androgen receptor, a zone model was developed for structure-activity relationship (SAR) purposes and analogues were synthesized and evaluated in a cell-based luciferase assay. A novel thioether isostere, cyclopropane (1S,2R)-27, showed the desired increased potency and structural properties (stereospecific SAR response, absence of a readily oxidized sulfur atom, low molecular weight, reduced number of flexible bonds and polar surface area, and drug-likeness score) in the prostate-specific antigen luciferase assay in C4-2-PSA-rl cells to qualify as a new lead structure for prostate cancer drug development.",,Cc1ccccc1N1CCN(CCSCc2c(C)noc2C)CC1,C19H27N3OS,CHEMBL4454790,10800.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10800.0,10800.0,10800.0,10800.0,4.033423755,4.033423755,4.033423755,4.966576245,4.966576245,4.966576245,1,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,10800.0,10800.0,10800.0,10800.0,4.966576244513051,4.966576244513051,4.966576244513051,4.966576244513051,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,EC50
2364810,nM,EC50,,BAO_0000188,EC50,1929733,Antagonist activity at androgen receptor in human C4-2-PSA-rl cells incubated for 24 hrs in presence of androgen R1881 by dual-glo luciferase reporter gene assay,0,B,,CHEMBL4432909,10.1021/acsmedchemlett.6b00186,27563404,CHEMBL4431378,Small Molecule Antagonists of the Nuclear Androgen Receptor for the Treatment of Castration-Resistant Prostate Cancer.,PUBLICATION,"After a high-throughput screening campaign identified thioether 1 as an antagonist of the nuclear androgen receptor, a zone model was developed for structure-activity relationship (SAR) purposes and analogues were synthesized and evaluated in a cell-based luciferase assay. A novel thioether isostere, cyclopropane (1S,2R)-27, showed the desired increased potency and structural properties (stereospecific SAR response, absence of a readily oxidized sulfur atom, low molecular weight, reduced number of flexible bonds and polar surface area, and drug-likeness score) in the prostate-specific antigen luciferase assay in C4-2-PSA-rl cells to qualify as a new lead structure for prostate cancer drug development.",,Cc1ccccc1N1CCN(C(=O)CSc2ccccc2)CC1,C19H22N2OS,CHEMBL4457801,25000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25000.0,25000.0,25000.0,25000.0,4.397940009,4.397940009,4.397940009,4.602059991,4.602059991,4.602059991,1,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,25000.0,25000.0,25000.0,25000.0,4.6020599913279625,4.6020599913279625,4.6020599913279625,4.6020599913279625,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,EC50
