comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1
ARTZLFGRBPRUSQ-CASJYSRLSA-N,nM,FI5,,BAO_0000179,FI5,,35490,Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay,,,17064916,185,10.1016/j.bmc.2006.09.072,CHEMBL1144524,Discovery of 7alpha-substituted dihydrotestosterones as androgen receptor pure antagonists and their structure-activity relationships.,"Tachibana K, Imaoka I, Yoshino H, Emura T, Kodama H, Furuta Y, Kato N, Nakamura M, Ohta M, Taniguchi K, Ishikura N, Nagamuta M, Onuma E, Sato H.","A series of 7alpha-substituted dihydrotestosterone derivatives were synthesized and evaluated for androgen receptor (AR) pure antagonistic activity. From reporter gene assay (RGA), the compound with a side chain containing N-n-butyl-N-methyl amide (19a) showed pure antagonistic activity (IC(50)=340nM, FI(5)>10,000nM), whereas known AR antagonists showed partial agonistic activities. The optimization of 19a led to compound 23 (CH4892280), which showed more potent pure antagonistic activity (IC(50)=190nM, FI(5)>10,000nM). The SARs of tested compounds suggested that the length of the side chain and the substituents on the amide nitrogen are important for pure antagonistic activities.","InChI=1S/C31H53NO3/c1-21(2)32(5)28(35)12-10-8-6-7-9-11-22-19-23-20-24(33)15-17-30(23,3)26-16-18-31(4)25(29(22)26)13-14-27(31)34/h21-23,25-27,29,34H,6-20H2,1-5H3/t22?,23-,25-,26-,27-,29-,30-,31-/m0/s1",0.36,1.38,10000.0,
AVEMUXFNMGKYNB-LKJWXFBHSA-N,nM,FI5,,BAO_0000179,FI5,,35490,Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay,,,17064916,185,10.1016/j.bmc.2006.09.072,CHEMBL1144524,Discovery of 7alpha-substituted dihydrotestosterones as androgen receptor pure antagonists and their structure-activity relationships.,"Tachibana K, Imaoka I, Yoshino H, Emura T, Kodama H, Furuta Y, Kato N, Nakamura M, Ohta M, Taniguchi K, Ishikura N, Nagamuta M, Onuma E, Sato H.","A series of 7alpha-substituted dihydrotestosterone derivatives were synthesized and evaluated for androgen receptor (AR) pure antagonistic activity. From reporter gene assay (RGA), the compound with a side chain containing N-n-butyl-N-methyl amide (19a) showed pure antagonistic activity (IC(50)=340nM, FI(5)>10,000nM), whereas known AR antagonists showed partial agonistic activities. The optimization of 19a led to compound 23 (CH4892280), which showed more potent pure antagonistic activity (IC(50)=190nM, FI(5)>10,000nM). The SARs of tested compounds suggested that the length of the side chain and the substituents on the amide nitrogen are important for pure antagonistic activities.","InChI=1S/C33H53F5O3S/c1-30-17-14-25(39)22-24(30)21-23(29-26-12-13-28(40)31(26,2)18-15-27(29)30)11-8-6-4-3-5-7-9-19-42(41)20-10-16-32(34,35)33(36,37)38/h23-24,26-29,40H,3-22H2,1-2H3/t23-,24?,26+,27+,28+,29+,30+,31+,42?/m1/s1",0.12,1.44,490.0,
BEPDLJFOXMKERK-HVHIBYPPSA-N,nM,FI5,,BAO_0000179,FI5,,35490,Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay,,,17064916,185,10.1016/j.bmc.2006.09.072,CHEMBL1144524,Discovery of 7alpha-substituted dihydrotestosterones as androgen receptor pure antagonists and their structure-activity relationships.,"Tachibana K, Imaoka I, Yoshino H, Emura T, Kodama H, Furuta Y, Kato N, Nakamura M, Ohta M, Taniguchi K, Ishikura N, Nagamuta M, Onuma E, Sato H.","A series of 7alpha-substituted dihydrotestosterone derivatives were synthesized and evaluated for androgen receptor (AR) pure antagonistic activity. From reporter gene assay (RGA), the compound with a side chain containing N-n-butyl-N-methyl amide (19a) showed pure antagonistic activity (IC(50)=340nM, FI(5)>10,000nM), whereas known AR antagonists showed partial agonistic activities. The optimization of 19a led to compound 23 (CH4892280), which showed more potent pure antagonistic activity (IC(50)=190nM, FI(5)>10,000nM). The SARs of tested compounds suggested that the length of the side chain and the substituents on the amide nitrogen are important for pure antagonistic activities.","InChI=1S/C30H51NO3/c1-5-31(4)27(34)12-10-8-6-7-9-11-21-19-22-20-23(32)15-17-29(22,2)25-16-18-30(3)24(28(21)25)13-14-26(30)33/h21-22,24-26,28,33H,5-20H2,1-4H3/t21?,22-,24-,25-,26-,28-,29-,30-/m0/s1",0.39,1.44,10000.0,
BSSPMKMXKJHGDJ-IUTKNCLFSA-N,nM,FI5,,BAO_0000179,FI5,,37004,Agonist activity at human androgen receptor expressed in HeLa cells assessed as five times increase in transcriptional activity by reporter gene assay,,,17804229,5576,10.1016/j.bmcl.2007.07.090,CHEMBL1137463,Discovery and structure-activity relationships of new steroidal compounds bearing a carboxy-terminal side chain as androgen receptor pure antagonists.,"Tachibana K, Imaoka I, Yoshino H, Kato N, Nakamura M, Ohta M, Kawata H, Taniguchi K, Ishikura N, Nagamuta M, Onuma E, Sato H.","Lead optimization of CH4892280 (4), an androgen receptor (AR) pure antagonist, was investigated. Compounds 6 and 7, which have a carboxylic acid at the end of the side chain at the position 7alpha of dihydrotestosterone (DHT), showed partial agonistic activities in reporter gene assay (RGA). Conversion of the steroidal core structure to 17alpha-methyltestosterone gave compound 14, which showed weak pure antagonistic activity. Optimization of the side chain by the insertion of a phenyl ring led to compounds 22 and 28-30, which showed pure antagonistic activities at submicromolar concentrations. The structure-activity relationships were clarified.","InChI=1S/C30H48O4/c1-28-16-13-23(31)20-22(28)19-21(11-9-7-5-4-6-8-10-12-26(32)33)27-24(28)14-17-29(2)25(27)15-18-30(29,3)34/h20-21,24-25,27,34H,4-19H2,1-3H3,(H,32,33)/t21-,24+,25+,27-,28+,29+,30+/m1/s1",0.33,1.75,10000.0,
BZLBFBAKHHAXJU-NGQOSGAJSA-N,nM,FI5,,BAO_0000179,FI5,,35490,Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay,,,17064916,185,10.1016/j.bmc.2006.09.072,CHEMBL1144524,Discovery of 7alpha-substituted dihydrotestosterones as androgen receptor pure antagonists and their structure-activity relationships.,"Tachibana K, Imaoka I, Yoshino H, Emura T, Kodama H, Furuta Y, Kato N, Nakamura M, Ohta M, Taniguchi K, Ishikura N, Nagamuta M, Onuma E, Sato H.","A series of 7alpha-substituted dihydrotestosterone derivatives were synthesized and evaluated for androgen receptor (AR) pure antagonistic activity. From reporter gene assay (RGA), the compound with a side chain containing N-n-butyl-N-methyl amide (19a) showed pure antagonistic activity (IC(50)=340nM, FI(5)>10,000nM), whereas known AR antagonists showed partial agonistic activities. The optimization of 19a led to compound 23 (CH4892280), which showed more potent pure antagonistic activity (IC(50)=190nM, FI(5)>10,000nM). The SARs of tested compounds suggested that the length of the side chain and the substituents on the amide nitrogen are important for pure antagonistic activities.","InChI=1S/C27H45NO3/c1-26-14-12-20(29)17-19(26)16-18(8-6-4-3-5-7-9-24(28)31)25-21-10-11-23(30)27(21,2)15-13-22(25)26/h18-19,21-23,25,30H,3-17H2,1-2H3,(H2,28,31)/t18?,19-,21-,22-,23-,25-,26-,27-/m0/s1",0.50,1.85,2400.0,
CDKOPVPFJIUNEN-ZORBKQAVSA-N,nM,FI5,,BAO_0000179,FI5,,35490,Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay,,,17064916,185,10.1016/j.bmc.2006.09.072,CHEMBL1144524,Discovery of 7alpha-substituted dihydrotestosterones as androgen receptor pure antagonists and their structure-activity relationships.,"Tachibana K, Imaoka I, Yoshino H, Emura T, Kodama H, Furuta Y, Kato N, Nakamura M, Ohta M, Taniguchi K, Ishikura N, Nagamuta M, Onuma E, Sato H.","A series of 7alpha-substituted dihydrotestosterone derivatives were synthesized and evaluated for androgen receptor (AR) pure antagonistic activity. From reporter gene assay (RGA), the compound with a side chain containing N-n-butyl-N-methyl amide (19a) showed pure antagonistic activity (IC(50)=340nM, FI(5)>10,000nM), whereas known AR antagonists showed partial agonistic activities. The optimization of 19a led to compound 23 (CH4892280), which showed more potent pure antagonistic activity (IC(50)=190nM, FI(5)>10,000nM). The SARs of tested compounds suggested that the length of the side chain and the substituents on the amide nitrogen are important for pure antagonistic activities.","InChI=1S/C35H57F5O3S/c1-32-19-16-27(41)24-26(32)23-25(31-28-14-15-30(42)33(28,2)20-17-29(31)32)13-10-8-6-4-3-5-7-9-11-21-44(43)22-12-18-34(36,37)35(38,39)40/h25-26,28-31,42H,3-24H2,1-2H3/t25-,26?,28+,29+,30+,31+,32+,33+,44?/m1/s1",0.10,1.37,10000.0,
CLCDMOARYHTFHN-HVHIBYPPSA-N,nM,FI5,,BAO_0000179,FI5,,35490,Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay,,,17064916,185,10.1016/j.bmc.2006.09.072,CHEMBL1144524,Discovery of 7alpha-substituted dihydrotestosterones as androgen receptor pure antagonists and their structure-activity relationships.,"Tachibana K, Imaoka I, Yoshino H, Emura T, Kodama H, Furuta Y, Kato N, Nakamura M, Ohta M, Taniguchi K, Ishikura N, Nagamuta M, Onuma E, Sato H.","A series of 7alpha-substituted dihydrotestosterone derivatives were synthesized and evaluated for androgen receptor (AR) pure antagonistic activity. From reporter gene assay (RGA), the compound with a side chain containing N-n-butyl-N-methyl amide (19a) showed pure antagonistic activity (IC(50)=340nM, FI(5)>10,000nM), whereas known AR antagonists showed partial agonistic activities. The optimization of 19a led to compound 23 (CH4892280), which showed more potent pure antagonistic activity (IC(50)=190nM, FI(5)>10,000nM). The SARs of tested compounds suggested that the length of the side chain and the substituents on the amide nitrogen are important for pure antagonistic activities.","InChI=1S/C30H51NO3/c1-4-18-31-27(34)11-9-7-5-6-8-10-21-19-22-20-23(32)14-16-29(22,2)25-15-17-30(3)24(28(21)25)12-13-26(30)33/h21-22,24-26,28,33H,4-20H2,1-3H3,(H,31,34)/t21?,22-,24-,25-,26-,28-,29-,30-/m0/s1",0.36,1.43,10000.0,
CXUSCSFPEJRLOW-MVEHLLDSSA-N,nM,FI5,,BAO_0000179,FI5,,35490,Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay,,,17064916,185,10.1016/j.bmc.2006.09.072,CHEMBL1144524,Discovery of 7alpha-substituted dihydrotestosterones as androgen receptor pure antagonists and their structure-activity relationships.,"Tachibana K, Imaoka I, Yoshino H, Emura T, Kodama H, Furuta Y, Kato N, Nakamura M, Ohta M, Taniguchi K, Ishikura N, Nagamuta M, Onuma E, Sato H.","A series of 7alpha-substituted dihydrotestosterone derivatives were synthesized and evaluated for androgen receptor (AR) pure antagonistic activity. From reporter gene assay (RGA), the compound with a side chain containing N-n-butyl-N-methyl amide (19a) showed pure antagonistic activity (IC(50)=340nM, FI(5)>10,000nM), whereas known AR antagonists showed partial agonistic activities. The optimization of 19a led to compound 23 (CH4892280), which showed more potent pure antagonistic activity (IC(50)=190nM, FI(5)>10,000nM). The SARs of tested compounds suggested that the length of the side chain and the substituents on the amide nitrogen are important for pure antagonistic activities.","InChI=1S/C28H47NO3/c1-27-15-13-21(30)18-20(27)17-19(9-7-5-4-6-8-10-25(32)29-3)26-22-11-12-24(31)28(22,2)16-14-23(26)27/h19-20,22-24,26,31H,4-18H2,1-3H3,(H,29,32)/t19?,20-,22-,23-,24-,26-,27-,28-/m0/s1",0.47,1.65,10000.0,
FYFLFLAUGWRSNM-BGDYOQMBSA-N,nM,FI5,,BAO_0000179,FI5,,35490,Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay,,,17064916,185,10.1016/j.bmc.2006.09.072,CHEMBL1144524,Discovery of 7alpha-substituted dihydrotestosterones as androgen receptor pure antagonists and their structure-activity relationships.,"Tachibana K, Imaoka I, Yoshino H, Emura T, Kodama H, Furuta Y, Kato N, Nakamura M, Ohta M, Taniguchi K, Ishikura N, Nagamuta M, Onuma E, Sato H.","A series of 7alpha-substituted dihydrotestosterone derivatives were synthesized and evaluated for androgen receptor (AR) pure antagonistic activity. From reporter gene assay (RGA), the compound with a side chain containing N-n-butyl-N-methyl amide (19a) showed pure antagonistic activity (IC(50)=340nM, FI(5)>10,000nM), whereas known AR antagonists showed partial agonistic activities. The optimization of 19a led to compound 23 (CH4892280), which showed more potent pure antagonistic activity (IC(50)=190nM, FI(5)>10,000nM). The SARs of tested compounds suggested that the length of the side chain and the substituents on the amide nitrogen are important for pure antagonistic activities.","InChI=1S/C32H55NO3/c1-5-6-20-33(4)29(36)13-11-9-7-8-10-12-23-21-24-22-25(34)16-18-31(24,2)27-17-19-32(3)26(30(23)27)14-15-28(32)35/h23-24,26-28,30,35H,5-22H2,1-4H3/t23-,24?,26+,27+,28+,30+,31+,32+/m1/s1",0.31,1.24,280.0,
FYFLFLAUGWRSNM-NCCRKMCZSA-N,nM,FI5,,BAO_0000179,FI5,,35490,Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay,,,17064916,185,10.1016/j.bmc.2006.09.072,CHEMBL1144524,Discovery of 7alpha-substituted dihydrotestosterones as androgen receptor pure antagonists and their structure-activity relationships.,"Tachibana K, Imaoka I, Yoshino H, Emura T, Kodama H, Furuta Y, Kato N, Nakamura M, Ohta M, Taniguchi K, Ishikura N, Nagamuta M, Onuma E, Sato H.","A series of 7alpha-substituted dihydrotestosterone derivatives were synthesized and evaluated for androgen receptor (AR) pure antagonistic activity. From reporter gene assay (RGA), the compound with a side chain containing N-n-butyl-N-methyl amide (19a) showed pure antagonistic activity (IC(50)=340nM, FI(5)>10,000nM), whereas known AR antagonists showed partial agonistic activities. The optimization of 19a led to compound 23 (CH4892280), which showed more potent pure antagonistic activity (IC(50)=190nM, FI(5)>10,000nM). The SARs of tested compounds suggested that the length of the side chain and the substituents on the amide nitrogen are important for pure antagonistic activities.","InChI=1S/C32H55NO3/c1-5-6-20-33(4)29(36)13-11-9-7-8-10-12-23-21-24-22-25(34)16-18-31(24,2)27-17-19-32(3)26(30(23)27)14-15-28(32)35/h23-24,26-28,30,35H,5-22H2,1-4H3/t23?,24-,26-,27-,28-,30-,31-,32-/m0/s1",0.31,1.24,10000.0,
GEBZVFIRTDLBNY-VPOZCLCWSA-N,nM,FI5,,BAO_0000179,FI5,,37004,Agonist activity at human androgen receptor expressed in HeLa cells assessed as five times increase in transcriptional activity by reporter gene assay,,,17804229,5576,10.1016/j.bmcl.2007.07.090,CHEMBL1137463,Discovery and structure-activity relationships of new steroidal compounds bearing a carboxy-terminal side chain as androgen receptor pure antagonists.,"Tachibana K, Imaoka I, Yoshino H, Kato N, Nakamura M, Ohta M, Kawata H, Taniguchi K, Ishikura N, Nagamuta M, Onuma E, Sato H.","Lead optimization of CH4892280 (4), an androgen receptor (AR) pure antagonist, was investigated. Compounds 6 and 7, which have a carboxylic acid at the end of the side chain at the position 7alpha of dihydrotestosterone (DHT), showed partial agonistic activities in reporter gene assay (RGA). Conversion of the steroidal core structure to 17alpha-methyltestosterone gave compound 14, which showed weak pure antagonistic activity. Optimization of the side chain by the insertion of a phenyl ring led to compounds 22 and 28-30, which showed pure antagonistic activities at submicromolar concentrations. The structure-activity relationships were clarified.","InChI=1S/C29H48O4/c1-28-16-14-22(30)19-21(28)18-20(10-8-6-4-3-5-7-9-11-26(32)33)27-23-12-13-25(31)29(23,2)17-15-24(27)28/h20-21,23-25,27,31H,3-19H2,1-2H3,(H,32,33)/t20-,21+,23+,24+,25+,27+,28+,29+/m1/s1",0.35,1.89,120.0,
GRFRSLAQWWDZEZ-MHSPNPQUSA-N,nM,FI5,,BAO_0000179,FI5,,35490,Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay,,,17064916,185,10.1016/j.bmc.2006.09.072,CHEMBL1144524,Discovery of 7alpha-substituted dihydrotestosterones as androgen receptor pure antagonists and their structure-activity relationships.,"Tachibana K, Imaoka I, Yoshino H, Emura T, Kodama H, Furuta Y, Kato N, Nakamura M, Ohta M, Taniguchi K, Ishikura N, Nagamuta M, Onuma E, Sato H.","A series of 7alpha-substituted dihydrotestosterone derivatives were synthesized and evaluated for androgen receptor (AR) pure antagonistic activity. From reporter gene assay (RGA), the compound with a side chain containing N-n-butyl-N-methyl amide (19a) showed pure antagonistic activity (IC(50)=340nM, FI(5)>10,000nM), whereas known AR antagonists showed partial agonistic activities. The optimization of 19a led to compound 23 (CH4892280), which showed more potent pure antagonistic activity (IC(50)=190nM, FI(5)>10,000nM). The SARs of tested compounds suggested that the length of the side chain and the substituents on the amide nitrogen are important for pure antagonistic activities.","InChI=1S/C29H45F5O3S/c1-26-13-10-21(35)18-20(26)17-19(25-22-8-9-24(36)27(22,2)14-11-23(25)26)7-4-3-5-15-38(37)16-6-12-28(30,31)29(32,33)34/h19-20,22-25,36H,3-18H2,1-2H3/t19-,20?,22+,23+,24+,25+,26+,27+,38?/m1/s1",0.17,1.59,16.0,
IHBSVQHHJXJVFU-IZHYOYPJSA-N,nM,FI5,,BAO_0000179,FI5,,37004,Agonist activity at human androgen receptor expressed in HeLa cells assessed as five times increase in transcriptional activity by reporter gene assay,,,17804229,5576,10.1016/j.bmcl.2007.07.090,CHEMBL1137463,Discovery and structure-activity relationships of new steroidal compounds bearing a carboxy-terminal side chain as androgen receptor pure antagonists.,"Tachibana K, Imaoka I, Yoshino H, Kato N, Nakamura M, Ohta M, Kawata H, Taniguchi K, Ishikura N, Nagamuta M, Onuma E, Sato H.","Lead optimization of CH4892280 (4), an androgen receptor (AR) pure antagonist, was investigated. Compounds 6 and 7, which have a carboxylic acid at the end of the side chain at the position 7alpha of dihydrotestosterone (DHT), showed partial agonistic activities in reporter gene assay (RGA). Conversion of the steroidal core structure to 17alpha-methyltestosterone gave compound 14, which showed weak pure antagonistic activity. Optimization of the side chain by the insertion of a phenyl ring led to compounds 22 and 28-30, which showed pure antagonistic activities at submicromolar concentrations. The structure-activity relationships were clarified.","InChI=1S/C34H48O5/c1-32-16-13-26(35)22-25(32)21-24(31-28(32)14-17-33(2)29(31)15-18-34(33,3)38)10-5-4-8-23-9-6-11-27(20-23)39-19-7-12-30(36)37/h6,9,11,20,22,24,28-29,31,38H,4-5,7-8,10,12-19,21H2,1-3H3,(H,36,37)/t24-,28+,29+,31-,32+,33+,34+/m1/s1",0.31,1.27,10000.0,
IRKGLBGBAVTZER-JMCVDYJPSA-N,nM,FI5,,BAO_0000179,FI5,,37004,Agonist activity at human androgen receptor expressed in HeLa cells assessed as five times increase in transcriptional activity by reporter gene assay,,,17804229,5576,10.1016/j.bmcl.2007.07.090,CHEMBL1137463,Discovery and structure-activity relationships of new steroidal compounds bearing a carboxy-terminal side chain as androgen receptor pure antagonists.,"Tachibana K, Imaoka I, Yoshino H, Kato N, Nakamura M, Ohta M, Kawata H, Taniguchi K, Ishikura N, Nagamuta M, Onuma E, Sato H.","Lead optimization of CH4892280 (4), an androgen receptor (AR) pure antagonist, was investigated. Compounds 6 and 7, which have a carboxylic acid at the end of the side chain at the position 7alpha of dihydrotestosterone (DHT), showed partial agonistic activities in reporter gene assay (RGA). Conversion of the steroidal core structure to 17alpha-methyltestosterone gave compound 14, which showed weak pure antagonistic activity. Optimization of the side chain by the insertion of a phenyl ring led to compounds 22 and 28-30, which showed pure antagonistic activities at submicromolar concentrations. The structure-activity relationships were clarified.","InChI=1S/C36H52O5/c1-34-18-15-28(37)24-27(34)23-26(33-30(34)16-19-35(2)31(33)17-20-36(35,3)40)12-7-6-10-25-11-9-13-29(22-25)41-21-8-4-5-14-32(38)39/h9,11,13,22,24,26,30-31,33,40H,4-8,10,12,14-21,23H2,1-3H3,(H,38,39)/t26-,30+,31+,33-,34+,35+,36+/m1/s1",0.25,1.29,10000.0,
IYUXJZRXVUEXON-IZHYOYPJSA-N,nM,FI5,,BAO_0000179,FI5,,37004,Agonist activity at human androgen receptor expressed in HeLa cells assessed as five times increase in transcriptional activity by reporter gene assay,,,17804229,5576,10.1016/j.bmcl.2007.07.090,CHEMBL1137463,Discovery and structure-activity relationships of new steroidal compounds bearing a carboxy-terminal side chain as androgen receptor pure antagonists.,"Tachibana K, Imaoka I, Yoshino H, Kato N, Nakamura M, Ohta M, Kawata H, Taniguchi K, Ishikura N, Nagamuta M, Onuma E, Sato H.","Lead optimization of CH4892280 (4), an androgen receptor (AR) pure antagonist, was investigated. Compounds 6 and 7, which have a carboxylic acid at the end of the side chain at the position 7alpha of dihydrotestosterone (DHT), showed partial agonistic activities in reporter gene assay (RGA). Conversion of the steroidal core structure to 17alpha-methyltestosterone gave compound 14, which showed weak pure antagonistic activity. Optimization of the side chain by the insertion of a phenyl ring led to compounds 22 and 28-30, which showed pure antagonistic activities at submicromolar concentrations. The structure-activity relationships were clarified.","InChI=1S/C34H48O5/c1-32-17-14-26(35)22-25(32)21-24(31-28(32)15-18-33(2)29(31)16-19-34(33,3)38)8-6-7-23-10-12-27(13-11-23)39-20-5-4-9-30(36)37/h10-13,22,24,28-29,31,38H,4-9,14-21H2,1-3H3,(H,36,37)/t24-,28+,29+,31-,32+,33+,34+/m1/s1",0.31,1.36,3200.0,
